Date RSI14 RSI7 MACD STOCH5 STOCH14 PPO TREND10 TREND20 QUADTREND10 INTENSITY ADX14 AROONUP14 AROONDOWN14 AROON_DIFF CLOSE_MA_DIFF LIN_DEV QUAD_DEV PRICE_OSC VAR_RATIO MONEYFLOW
20110921   44.40576   39.44536    1.59985   50.67718   58.03538    2.31618    1.89711    0.02298   -1.17174   -5.66872   20.56481    0.00000   50.00000  -50.00000  -19.29205  -36.61009  -27.25857  -14.50142   23.65013    5.83062
20110922   38.18534   28.70230   -0.14367   38.64917   43.55464   -0.53224    0.00002   -0.04562  -14.95301   -5.97396   21.33183    0.00000  100.00000 -100.00000  -32.35875  -37.94072  -24.90248   -2.37067   48.70323   12.43308
20110923   39.82277   32.56700   -1.15191   32.75083   36.02114   -1.95518   -1.38042   -0.88118  -11.90101    7.31425   22.04406   78.57143   92.85714  -14.28571  -23.90172  -20.96705   31.51246   -2.17883   48.59100   24.97746
20110926   45.94546   46.10093   -0.95725   37.23755   39.41776   -1.54538   -4.70102   -1.59955   -1.69220   14.43388   21.91828   71.42857   85.71429  -14.28571   -2.30538   12.18451   34.06178    8.67028   44.89013   23.73865
20110927   48.65442   51.56212   -0.49029   47.19066   45.73598   -0.59946   -7.55073   -1.00005    0.02798    6.57785   20.82987   64.28571   78.57143  -14.28571    9.15807   27.26045   23.22502   17.00764   28.94464   13.71708
20110928   44.24598   42.32553   -0.82075   46.95666   42.46438   -0.94936   -8.86544   -0.97121    1.08794   -8.29535   20.26730   57.14286   71.42857  -14.28571   -1.14597   11.61348   -9.79460    8.46653   24.39084    2.30927
20110929   46.23522   46.56032   -0.65479   49.12057   43.12097   -0.67467   -5.19463   -0.63345    3.51126  -11.62658   19.98556   50.00000   64.28571  -14.28571    5.34073   18.64967  -10.92986  -14.31010    5.81869   -6.57269
20110930   41.19153   36.57567   -1.43711   33.60838   34.51585   -1.65468   -3.94830   -0.79932    0.78037  -17.09657   19.92310   42.85714   57.14286  -14.28571  -13.40064   -8.80379  -25.52355    1.59192   12.21271  -19.65244
20111003   36.43847   28.62416   -2.55762   22.81585   23.33898   -3.49455   -4.59670   -2.28734   -0.02990  -24.10340   20.55689   35.71429  100.00000  -64.28571  -27.80444  -27.22186  -22.98894    3.77234   45.07008  -33.09310
20111004   41.84705   40.01174   -2.29133   30.00865   26.80018   -3.37379   -1.86733   -3.65813   -1.18285   -6.85254   21.58299   28.57143  100.00000  -71.42857  -10.20532   -2.91798   18.38111   11.14068   37.23559  -13.15283
20111005   46.10922   48.31478   -1.41860   42.84880   33.86952   -2.16815   -0.43848   -3.25171   -0.62369    4.87246   21.79465   21.42857   92.85714  -71.42857    5.75434   15.80903   29.90318    7.94511   34.48182    2.04494
20111006   50.03416   55.47089   -0.14847   61.28524   43.32147   -0.32936   -0.23452   -2.38192    0.24619   15.95381   21.36991   14.28571   85.71429  -71.42857   16.28914   29.00918   21.58501   16.12647   37.50722    8.39694
20111007   48.59787   52.28828    0.29962   68.96273   47.83705    0.59612   -0.29258   -3.07537    6.36924    1.18845   20.79046    7.14286   78.57143  -71.42857   12.53829   19.78641   -8.67106    0.76052   41.45033    0.18027
20111010   55.43353   64.18326    1.93876   79.17188   62.64306    2.91286    0.19783   -1.82847   14.09824    9.76706   19.53613    0.00000   71.42857  -71.42857   26.68656   30.46104    0.39092    1.92688   40.87740   -0.37975
20111011   55.63059   64.50344    2.91852   84.77494   74.19660    4.35180    7.21322   -1.04570    7.95770   19.08639   18.25222    0.00000   64.28571  -64.28571   19.25497   16.98999  -20.05652  -14.65987   34.77637    7.96869
20111012   57.40510   67.47151    3.77514   84.48108   79.64795    5.54914   16.98077   -0.15245    2.48039   16.85735   17.43070  100.00000   57.14286   42.85714   17.59607    9.55920  -19.58968  -20.64549   30.75163   11.60255
20111013   56.84552   66.00000    4.09846   81.97995   82.73838    5.95076   37.83688    0.00053   -0.00000   18.44728   16.29933   92.85714   50.00000   42.85714   10.44321  -18.53736  -18.20587  -30.90362   26.13655   14.75699
20111014   60.41291   72.09498    4.78147   87.78380   88.42634    6.80640   38.87847    0.78082   -0.34164   20.47727   15.73565  100.00000   42.85714   57.14286   16.15267  -13.97182   18.49251  -22.79364  -11.45632   31.84219
20111017   54.86482   58.25554    4.28449   71.33673   87.07663    5.99558   28.64346    3.74612   -1.22007    5.31725   14.80124   92.85714   35.71429   57.14286   -1.94256  -37.53081  -23.10581  -32.94963  -16.69605   40.85420
20111018   58.94273   65.92041    4.43285   73.88965   89.47610    6.17430   17.89807    8.65781   -0.46862   14.44503   14.21236  100.00000   28.57143   71.42857    8.71888   -9.51804   17.63277  -17.62222  -13.22844   33.84753
20111019   55.60440   58.22432    3.88080   64.55642   88.06803    5.33806   10.79473   12.00200   -1.07393    2.40973   13.66554   92.85714   21.42857   71.42857   -0.95930  -27.54665   -5.42185  -12.60801  -14.53638   19.37027
20111020   56.57259   60.20554    3.45977   62.10732   88.22870    4.73680    7.14394   11.54782   -1.88844    3.81808   12.84005   85.71429   14.28571   71.42857    1.35490  -17.36662   13.38146   -6.98399  -19.81267   16.53865
20111021   60.60515   67.93748    3.73177   73.72196   91.85288    5.03660    7.08183   12.44725    0.00044    9.59825   12.72095  100.00000    7.14286   92.85714   11.85679   27.15434   25.74946   -2.98265    1.83235   30.99345
20111024   63.03720   72.09888    4.25192   80.91562   93.84190    5.52276   10.91549   17.12219    0.35268   20.21435   13.09622  100.00000    0.00000  100.00000   18.17701   30.02778   18.24576  -10.28425   16.89164   27.68649
20111025   56.95820   58.00024    3.51862   71.94830   88.43599    4.48708    7.07800   23.15970    0.04551    4.84729   12.94651   92.85714    0.00000   92.85714    0.50506  -19.07746  -25.81463   -9.90088   16.71200   14.82827
20111026   59.13246   62.39518    3.24392   72.93760   87.63512    4.04220    7.67140   24.22716    0.00415    3.61246   12.58889   85.71429    0.00000   85.71429    6.76129   -2.54271   -6.02893  -11.71239    2.07826   28.27757
20111027   65.61272   73.57177    3.94049   78.30610   89.51564    5.17791    8.34721   23.74699    0.70159    6.51449   13.53899  100.00000    0.00000  100.00000   24.18072   34.28403   21.70278   13.37001   29.27690   28.12448
